정보공시 학교코드,시도교육청,교육지원청,지역,학교명,설립구분,점검영역_총개수,미관리_영역수,관리_영역수,최근점검일,평균점검일,점검경과일_평균,점검경과일_최근,학교급,환경_부적합_수,환경_미실시_수,환경_위험항목_수,학생수,환경위험_log,미관리_norm,환경위험_norm,경과일_norm,위험도_점수,위험군,우선순위_점수,지역분류
S020000961,부산광역시교육청,부산광역시남부교육지원청,부산광역시 부산진구,덕명여자중학교,사립,6,1,5,2025-02-20,2025-02-07 19:12:00.000000,143.0,131.0,중,0.0,3.0,3.0,323.0,1.3862943611198906,0.2,0.36633850182726724,0.05494505494505497,23.023236494365754,고위험,80.82410799410248,구(대도시)
S090002685,경기도교육청,경기도시흥교육지원청,경기도 시흥시,군자중학교,공립,6,0,6,2025-02-25,2025-01-28 20:00:00.000000,153.0,126.0,중,0.0,9.0,9.0,575.0,2.302585092994046,0.0,0.6084750807294722,0.0824175824175824,21.480776565171485,고위험,80.77679515706129,시(중소도시)
S160003344,경상남도교육청,김해교육지원청,경상남도 김해시,진영금병초등학교,공립,6,0,6,2025-02-25,2025-01-20 04:00:00.000000,161.0,126.0,초,0.0,7.0,7.0,1140.0,2.0794415416798357,0.0,0.5495077527409008,0.10439560439560441,19.908481115175004,고위험,80.77439463077069,시(중소도시)
S030000366,대구광역시교육청,대구광역시남부교육지원청,대구광역시 남구,경상중학교,공립,6,0,6,2025-02-24,2024-12-12 20:00:00.000000,200.0,127.0,중,0.0,8.0,8.0,352.0,2.1972245773362196,0.0,0.5806327879665873,0.21153846153846156,22.75703584905123,고위험,80.73683615486785,구(대도시)
S120000610,충청남도교육청,충청남도아산교육지원청,충청남도 아산시,선장초등학교,공립,6,1,5,2025-02-10,2024-12-25 14:24:00.000000,187.0,141.0,초,0.0,10.0,10.0,23.0,2.3978952727983707,0.2,0.6336614981727328,0.17582417582417587,33.89984042871117,고위험,80.68878128064792,시(중소도시)
S090004004,경기도교육청,경기도평택교육지원청,경기도 평택시,포승중학교,공립,6,0,6,2024-12-18,2024-12-07 20:00:00.000000,205.0,195.0,중,0.0,11.0,11.0,145.0,2.4849066497880004,0.0,0.6566548958105609,0.22527472527472525,25.49928189141884,고위험,80.6887254735636,시(중소도시)
S140001015,전라남도교육청,전라남도보성교육지원청,전라남도 보성군,겸백초등학교,공립,6,2,4,2025-02-26,2025-02-14 12:00:00.000000,136.0,125.0,초,0.0,6.0,6.0,13.0,1.9459101490553132,0.4,0.5142210981219936,0.0357142857142857,37.576439095168645,고위험,80.64384942309724,군(농촌)
S050001116,광주광역시교육청,광주광역시서부교육지원청,광주광역시 광산구,대반초등학교,공립,6,1,5,2025-02-28,2025-02-17 19:12:00.000000,133.0,123.0,초,0.0,3.0,3.0,375.0,1.3862943611198906,0.2,0.36633850182726724,0.027472527472527486,22.556203527332787,고위험,80.6426646786346,구(대도시)
S170000223,제주특별자치도교육청,제주시교육지원청,제주특별자치도 제주시,조천초등학교교래분교장,공립,6,2,4,2025-02-04,2025-01-05 00:00:00.000000,177.0,147.0,초,0.0,5.0,5.0,12.0,1.791759469228055,0.4,0.47348564489692724,0.14835164835164838,38.14700430357662,고위험,80.6406061579661,시(중소도시)
S070000120,울산광역시교육청,울산광역시교육청,울산광역시 동구,현대고등학교,사립,6,0,6,2025-02-07,2025-02-04 12:00:00.000000,146.0,144.0,고,0.0,9.0,9.0,646.0,2.302585092994046,0.0,0.6084750807294722,0.06318681318681318,21.15385348824841,고위험,80.61531081100438,구(대도시)
S010000393,서울특별시교육청,서울특별시교육청,서울특별시 마포구,광성고등학교,사립,6,0,6,2025-02-27,2025-02-12 08:00:00.000000,138.0,124.0,고,0.0,9.0,9.0,755.0,2.302585092994046,0.0,0.6084750807294722,0.04120879120879123,20.780227114622036,고위험,80.59656377952672,구(대도시)
S040002336,인천광역시교육청,인천광역시서부교육지원청,인천광역시 서구,인천청호중학교,공립,6,0,6,2025-02-27,2025-02-26 00:00:00.000000,125.0,124.0,중,0.0,11.0,11.0,504.0,2.4849066497880004,0.0,0.6566548958105609,0.005494505494505475,21.763018155155102,고위험,80.59479749582579,구(대도시)
S140005553,전라남도교육청,전라남도나주교육지원청,전라남도 나주시,빛누리초등학교,공립,6,0,6,2025-02-28,2024-11-02 08:00:00.000000,240.0,123.0,초,0.0,4.0,4.0,1347.0,1.6094379124341003,0.0,0.42530582981583853,0.3214285714285715,19.49937809820839,고위험,80.52638463634361,시(중소도시)
S000005401,서울특별시교육청,서울특별시교육청,서울특별시 금천구,국립전통예술고등학교,국립,6,0,6,2025-02-28,2024-12-13 20:00:00.000000,199.0,123.0,고,0.0,7.0,7.0,514.0,2.0794415416798357,0.0,0.5495077527409008,0.20879120879120883,21.683206389900278,고위험,80.483882226824,구(대도시)
