위험군,학교수,위험도_평균,미관리_평균,환경위험_평균,경과일_평균,학생수_평균,비율(%)
양호,5517,4.03,0.0,0.43,160.09,522.97,46.6
주의,3590,18.79,1.36,0.64,165.39,273.2,30.3
고위험,2734,25.55,0.55,8.19,161.03,392.91,23.1
