sido_key,sgg_key,match_key,학교수,위험도_평균,위험도_최대,고위험_학교수,미관리_평균,환경위험_평균,학생수_합
강원특별자치도,강릉시,강원특별자치도|강릉시,60,17.503295609868665,46.93069677952708,15,0.7833333333333333,2.2666666666666666,17865.0
강원특별자치도,고성군,강원특별자치도|고성군,21,24.079514051114376,52.87252049008033,6,1.2380952380952381,4.333333333333333,1614.0
강원특별자치도,동해시,강원특별자치도|동해시,27,13.179480876236298,36.4925289135366,6,0.25925925925925924,2.3703703703703702,8709.0
강원특별자치도,삼척시,강원특별자치도|삼척시,34,21.31659761547677,54.1895677739627,16,0.7058823529411765,4.176470588235294,4489.0
강원특별자치도,속초시,강원특별자치도|속초시,19,9.169030917288381,30.70132012232781,1,0.2631578947368421,1.0526315789473684,7398.0
강원특별자치도,양구군,강원특별자치도|양구군,19,23.88841047040653,44.73564183447213,7,0.9473684210526315,4.578947368421052,2012.0
강원특별자치도,양양군,강원특별자치도|양양군,20,18.25338038602755,33.969780219780226,4,0.9,1.6,1696.0
강원특별자치도,영월군,강원특별자치도|영월군,29,21.842684884368612,48.97753799626755,9,1.0689655172413792,3.0689655172413794,2451.0
강원특별자치도,원주시,강원특별자치도|원주시,90,12.867722951337068,46.16637650839189,15,0.5111111111111111,1.6444444444444444,37242.0
강원특별자치도,인제군,강원특별자치도|인제군,24,22.14063313018531,52.46356760570456,4,1.3333333333333333,1.8333333333333333,2336.0
강원특별자치도,정선군,강원특별자치도|정선군,34,23.16249181555262,47.3852519552115,16,0.9411764705882353,5.117647058823529,2199.0
강원특별자치도,철원군,강원특별자치도|철원군,26,22.21152360498187,47.67794952677982,7,0.9615384615384616,4.5,3294.0
강원특별자치도,춘천시,강원특별자치도|춘천시,76,16.221152632600784,51.10715019154512,17,0.8157894736842105,1.868421052631579,27945.0
강원특별자치도,태백시,강원특별자치도|태백시,23,16.040362833132743,49.67885811859536,6,0.782608695652174,2.0869565217391304,3309.0
강원특별자치도,평창군,강원특별자치도|평창군,31,24.797754238422826,53.44231502670995,8,1.3548387096774193,2.7096774193548385,2392.0
강원특별자치도,홍천군,강원특별자치도|홍천군,43,23.833499202846,52.05683276352666,14,1.255813953488372,3.604651162790698,4709.0
강원특별자치도,화천군,강원특별자치도|화천군,19,22.64576519025532,46.17096624092579,10,0.7894736842105263,5.526315789473684,1703.0
강원특별자치도,횡성군,강원특별자치도|횡성군,34,22.859506418087097,50.500007334402255,12,1.2647058823529411,3.676470588235294,3401.0
경기도,가평군,경기도|가평군,27,12.603203748574067,41.91560583661354,2,0.7407407407407407,0.8888888888888888,4843.0
경기도,고양시덕양구,경기도|고양시덕양구,76,8.901843620543861,40.07842652608711,16,0.07894736842105263,2.236842105263158,42742.0
경기도,고양시일산동구,경기도|고양시일산동구,45,7.396418629328372,31.8097214518584,6,0.1111111111111111,1.9555555555555555,27846.0
경기도,고양시일산서구,경기도|고양시일산서구,49,8.703121553166339,26.264372834332384,7,0.1836734693877551,1.5918367346938775,29077.0
경기도,과천시,경기도|과천시,11,9.53290719560506,22.55697419911115,2,0.18181818181818182,2.3636363636363638,8914.0
경기도,광명시,경기도|광명시,47,10.062838692068691,41.28445581332655,11,0.2553191489361702,2.021276595744681,28662.0
경기도,광주시,경기도|광주시,51,11.51136445537572,54.00275458714952,13,0.39215686274509803,2.4901960784313726,34707.0
경기도,구리시,경기도|구리시,31,9.496336703523195,26.138762545334863,4,0.2903225806451613,1.3225806451612903,16606.0
경기도,군포시,경기도|군포시,47,9.572776006107164,35.719203546783554,10,0.19148936170212766,2.617021276595745,23188.0
경기도,김포시,경기도|김포시,85,9.17160822574993,33.689560439560445,15,0.27058823529411763,1.4588235294117646,61872.0
경기도,남양주시,경기도|남양주시,126,13.063106880964943,51.07417582417583,31,0.3253968253968254,3.0238095238095237,80269.0
경기도,동두천시,경기도|동두천시,23,12.080365398859454,40.74914045583434,5,0.4782608695652174,1.173913043478261,8146.0
경기도,부천시소사구,경기도|부천시소사구,35,11.26073270805673,35.0806440970079,8,0.2857142857142857,2.3714285714285714,21017.0
경기도,부천시오정구,경기도|부천시오정구,22,10.439658118622487,26.058950780080043,5,0.22727272727272727,1.7727272727272727,9196.0
경기도,부천시원미구,경기도|부천시원미구,68,11.087289624618096,30.03119354755735,12,0.38235294117647056,1.9264705882352942,37262.0
경기도,성남시분당구,경기도|성남시분당구,87,10.363294433937,32.19694265363654,21,0.21839080459770116,2.0919540229885056,55563.0
경기도,성남시수정구,경기도|성남시수정구,33,13.028141970507015,30.842200684216063,9,0.3939393939393939,2.696969696969697,15857.0
경기도,성남시중원구,경기도|성남시중원구,33,12.964978869304241,35.43619128502157,11,0.3333333333333333,2.4242424242424243,14693.0
경기도,수원시권선구,경기도|수원시권선구,56,9.39477345944151,30.14199759869148,13,0.19642857142857142,1.8392857142857142,32168.0
경기도,수원시영통구,경기도|수원시영통구,62,7.776756632077536,26.497889317848863,10,0.11290322580645161,1.6129032258064515,43775.0
경기도,수원시장안구,경기도|수원시장안구,46,9.440511865177848,23.49026946139872,7,0.2608695652173913,1.2608695652173914,25807.0
경기도,수원시팔달구,경기도|수원시팔달구,35,8.347790436402118,24.624397045404734,4,0.22857142857142856,1.0,20159.0
경기도,시흥시,경기도|시흥시,89,12.517459595396398,36.23739967934446,26,0.39325842696629215,2.3820224719101124,59648.0
경기도,안산시단원구,경기도|안산시단원구,55,10.848379708198566,36.37227902885135,12,0.32727272727272727,1.8,30935.0
경기도,안산시상록구,경기도|안산시상록구,53,9.339298767958576,38.461449589151165,4,0.33962264150943394,1.4150943396226414,31085.0
경기도,안성시,경기도|안성시,56,13.224511122224738,47.01162558158513,8,0.6071428571428571,1.8392857142857142,19287.0
경기도,안양시동안구,경기도|안양시동안구,50,5.413670940583268,27.618768438727987,6,0.08,1.26,34149.0
경기도,안양시만안구,경기도|안양시만안구,36,7.397245860648026,41.54309649979039,4,0.16666666666666666,1.6111111111111112,20037.0
경기도,양주시,경기도|양주시,55,11.892033777293669,42.94307836408606,11,0.4909090909090909,1.4727272727272727,26324.0
경기도,양평군,경기도|양평군,43,18.10418451025911,45.99865265522497,13,0.8604651162790697,2.395348837209302,10155.0
경기도,여주시,경기도|여주시,47,16.194940779295568,46.346924517932216,6,0.8723404255319149,1.4893617021276595,9731.0
경기도,연천군,경기도|연천군,21,16.059116145780916,33.596153846153854,2,1.1428571428571428,0.8095238095238095,2842.0
경기도,오산시,경기도|오산시,42,8.947843654705204,32.19694265363654,9,0.19047619047619047,1.9523809523809523,29281.0
경기도,용인시기흥구,경기도|용인시기흥구,72,8.083968065964301,41.72802197802198,8,0.2777777777777778,1.1666666666666667,47423.0
경기도,용인시수지구,경기도|용인시수지구,58,8.20166858053034,26.843551847846022,10,0.20689655172413793,1.6724137931034482,45223.0
경기도,용인시처인구,경기도|용인시처인구,54,10.841212188873087,47.35102644985675,9,0.46296296296296297,1.5,25676.0
경기도,의왕시,경기도|의왕시,26,9.666896064996193,25.2182914394207,8,0.23076923076923078,1.4615384615384615,12762.0
